chain_requested,name,brand,operator,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
MAX,Maxi ICA Stormarknad Hudiksvall,Maxi ICA Stormarknad,,,,,,Sweden,"61.7430046,17.1163839",coordinates_only,61.7430046,17.1163839,way,113723416,OpenStreetMap via Overpass API
MAX,ICA Maxi Ystadvägen,Maxi ICA Stormarknad,,Cypressvägen,4,213 63,Malmö,Sweden,Cypressvägen 4 213 63 Malmö Sweden,strict,55.5732675,13.0366536,way,125735563,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Visby,Maxi ICA Stormarknad,,,,,,Sweden,"57.6237977,18.3221152",coordinates_only,57.6237977,18.3221152,way,126784267,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Ronneby,Maxi ICA Stormarknad,,Karlshamnsvägen,8,372 31,Ronneby,Sweden,Karlshamnsvägen 8 372 31 Ronneby Sweden,strict,56.2150101,15.2724717,way,134208681,OpenStreetMap via Overpass API
MAX,ICA Maxi Erikslund,Maxi ICA Stormarknad,,Traversgatan,12,72138,Västerås,Sweden,Traversgatan 12 72138 Västerås Sweden,strict,59.616545,16.4621088,way,145558558,OpenStreetMap via Overpass API
MAX,Ica Maxi,Maxi ICA Stormarknad,ICA,Mjälgavägen,2,784 37,Borlänge,Sweden,Mjälgavägen 2 784 37 Borlänge Sweden,strict,60.4826443,15.4487054,way,150876122,OpenStreetMap via Overpass API
MAX,ICA Maxi,Maxi ICA Stormarknad,,Siljanssågsvägen,15,79250,Mora,Sweden,Siljanssågsvägen 15 79250 Mora Sweden,strict,61.0060633,14.595943,way,171860466,OpenStreetMap via Overpass API
MAX,ICA Maxi Kristinehamn,Maxi ICA Stormarknad,,Närkevägen,28,681 43,Kristinehamn,Sweden,Närkevägen 28 681 43 Kristinehamn Sweden,strict,59.3117404,14.1291106,way,185872775,OpenStreetMap via Overpass API
MAX,ICA Maxi Karlskoga,Maxi ICA Stormarknad,,,,,,Sweden,"59.3281954,14.5070421",coordinates_only,59.3281954,14.5070421,way,194657488,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Bromölla,Maxi ICA Stormarknad,ICA,Tians Väg,4,295 39,Bromölla,Sweden,Tians Väg 4 295 39 Bromölla Sweden,strict,56.066817,14.4800661,way,204144406,OpenStreetMap via Overpass API
MAX,ICA Maxi Vasa Handelsplats,Maxi ICA Stormarknad,ICA,,,,,Sweden,"59.1873906,17.5791145",coordinates_only,59.1873906,17.5791145,way,206897155,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Enköping,Maxi ICA Stormarknad,,Vagnsgatan,3,745 37,Enköping,Sweden,Vagnsgatan 3 745 37 Enköping Sweden,strict,59.6521518,17.0870875,way,215109046,OpenStreetMap via Overpass API
MAX,Maxi ICA Stormarknad Toftanäs,Maxi ICA Stormarknad,,Topplocksgatan,10,21241,Malmö,Sweden,Topplocksgatan 10 21241 Malmö Sweden,strict,55.5973526,13.0982732,way,219177011,OpenStreetMap via Overpass API
MAX,Ica Maxi Stormarknad,Maxi ICA Stormarknad,,Afrodites väg,6,134 44,Värmdö,Sweden,Afrodites väg 6 134 44 Värmdö Sweden,strict,59.311894,18.4269917,way,221658763,OpenStreetMap via Overpass API
