chain_requested,name,brand,operator,category,shop,amenity,tourism,leisure,street,housenumber,postcode,city,country,address_formatted,address_quality,latitude,longitude,osm_type,osm_id,source
Apotek,Apoteket,Apoteket,Apoteket,Healthcare / pharmacy,,pharmacy,,,Östra Kyrkogatan,48,593 30,Västervik,Sweden,Östra Kyrkogatan 48 593 30 Västervik Sweden,strict,57.7591926,16.6378826,node,458612880,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.9873028,15.6329872",coordinates_only,57.9873028,15.6329872,node,461137684,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3325074,14.5726085",coordinates_only,59.3325074,14.5726085,node,466947709,OpenStreetMap via Overpass API
Apotek,Apoteksgruppen,,Apoteksgruppen,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"55.5569182,14.350812",coordinates_only,55.5569182,14.350812,node,467107423,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,Vaksalagatan,30,753 31,Uppsala,Sweden,Vaksalagatan 30 753 31 Uppsala Sweden,strict,59.8626494,17.6454109,node,469341340,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3316243,18.0592734",coordinates_only,59.3316243,18.0592734,node,470495633,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"61.346178,16.0673076",coordinates_only,61.346178,16.0673076,node,471061776,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3370363,18.0098559",coordinates_only,59.3370363,18.0098559,node,471576202,OpenStreetMap via Overpass API
Apotek,Apoteket Lejonet,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"56.9037933,12.4909564",coordinates_only,56.9037933,12.4909564,node,472669316,OpenStreetMap via Overpass API
Apotek,Apoteket,,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.1319394,12.929512",coordinates_only,59.1319394,12.929512,node,472834398,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.4718488,18.3310235",coordinates_only,59.4718488,18.3310235,node,473125666,OpenStreetMap via Overpass API
Apotek,Apoteket draken,Apoteksgruppen,Apoteksgruppen,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3423058,18.0372466",coordinates_only,59.3423058,18.0372466,node,473467480,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"58.7598033,16.9958511",coordinates_only,58.7598033,16.9958511,node,474381664,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat Broby,Apoteket,Apotek Hjärtat,Healthcare / pharmacy,,pharmacy,,,Tydingegatan,1,280 60,Broby,Sweden,Tydingegatan 1 280 60 Broby Sweden,strict,56.2536953,14.077757,node,477083632,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.6352578,17.0776441",coordinates_only,59.6352578,17.0776441,node,485107625,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"56.8159724,12.7354534",coordinates_only,56.8159724,12.7354534,node,490012784,OpenStreetMap via Overpass API
Apotek,Apoteket Hjärtat,Apoteket Hjärtat,Apoteket Hjärtat,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.2556506,18.1778772",coordinates_only,59.2556506,18.1778772,node,490131300,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Apotek,Healthcare / pharmacy,,pharmacy,,,Tuve Torg,9,41745,Göteborg,Sweden,Tuve Torg 9 41745 Göteborg Sweden,strict,57.75556,11.9271593,node,495985842,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Sjödalstorget,5,141 47,Huddinge,Sweden,Sjödalstorget 5 141 47 Huddinge Sweden,strict,59.2360698,17.9820387,node,496103995,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,Ale Torg,7,44931,Nödinge,Sweden,Ale Torg 7 44931 Nödinge Sweden,strict,57.8936364,12.0464392,node,497077473,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat Sveg,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.0335548,14.3645084",coordinates_only,62.0335548,14.3645084,node,499142556,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,Medborgargatan,30,856 30,Sundsvall,Sweden,Medborgargatan 30 856 30 Sundsvall Sweden,strict,62.4006374,17.3409117,node,522936030,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.6320933,17.9396151",coordinates_only,62.6320933,17.9396151,node,522936031,OpenStreetMap via Overpass API
Apotek,Apoteket Gripen,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.3909103,17.3103934",coordinates_only,62.3909103,17.3103934,node,522936033,OpenStreetMap via Overpass API
Apotek,Apoteket AB,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.4039442,17.2550595",coordinates_only,62.4039442,17.2550595,node,522936035,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat Bydalen,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.41422,17.3400396",coordinates_only,62.41422,17.3400396,node,522936039,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.7793489,14.1584526",coordinates_only,57.7793489,14.1584526,node,524511399,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.5673056,17.5296583",coordinates_only,59.5673056,17.5296583,node,534670908,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,Drottninggatan,12,80320,Gävle,Sweden,Drottninggatan 12 80320 Gävle Sweden,strict,60.6739472,17.1417188,node,534809896,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Apoteket,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"60.6091725,16.7600475",coordinates_only,60.6091725,16.7600475,node,534845636,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB,Healthcare / pharmacy,,pharmacy,,,Bergsgatan,48,214 20,Malmö,Sweden,Bergsgatan 48 214 20 Malmö Sweden,strict,55.5903106,13.0062943,node,536818488,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Westmansgatan,25,582 13,Linköping,Sweden,Westmansgatan 25 582 13 Linköping Sweden,strict,58.4026117,15.604198,node,538729427,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Droghandel Apotek AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.3453439,18.0602287",coordinates_only,59.3453439,18.0602287,node,538907036,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.0995418,12.2769935",coordinates_only,57.0995418,12.2769935,node,538983754,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket AB (556138-6532),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"62.5005746,16.1673203",coordinates_only,62.5005746,16.1673203,node,540379329,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.4096855,17.925675",coordinates_only,59.4096855,17.925675,node,540400010,OpenStreetMap via Overpass API
Apotek,Apoteksgruppen,Apoteksgruppen,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.1740494,14.8724724",coordinates_only,59.1740494,14.8724724,node,543432467,OpenStreetMap via Overpass API
Apotek,Apoteket Falken,Apoteket,Apoteket AB (publ),Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"56.9058079,12.4924112",coordinates_only,56.9058079,12.4924112,node,545175015,OpenStreetMap via Overpass API
Apotek,Apoteket,Apoteket,Apoteket,Healthcare / pharmacy,,pharmacy,,,Kaserngatan,48,80253,Gävle,Sweden,Kaserngatan 48 80253 Gävle Sweden,strict,60.6661163,17.1502811,node,549319148,OpenStreetMap via Overpass API
Apotek,Apoteksgruppen,Apoteksgruppen,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.7082856,11.654383",coordinates_only,57.7082856,11.654383,node,564638524,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Nockeby Torg,2-4,167 74,Bromma,Sweden,Nockeby Torg 2-4 167 74 Bromma Sweden,strict,59.3290947,17.9287271,node,566435739,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.326755,18.257691",coordinates_only,59.326755,18.257691,node,566983301,OpenStreetMap via Overpass API
Apotek,Apoteksgruppen,Apoteksgruppen,Apoteksgruppen,Healthcare / pharmacy,,pharmacy,,,Brogatan,16,74432,Heby,Sweden,Brogatan 16 74432 Heby Sweden,strict,59.9419478,16.8618355,node,568432371,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronan,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"57.6402134,11.9528265",coordinates_only,57.6402134,11.9528265,node,571187408,OpenStreetMap via Overpass API
Apotek,Kronans Apotek,Kronans Apotek,Kronans Apotek,Healthcare / pharmacy,,pharmacy,,,Landbrogatan,4,371 34,Karlskrona,Sweden,Landbrogatan 4 371 34 Karlskrona Sweden,strict,56.1628217,15.5851453,node,574923695,OpenStreetMap via Overpass API
Apotek,"Apoteksgruppen Åhus, Köpmannagatan",Apoteksgruppen,Apoteksgruppen,Healthcare / pharmacy,,pharmacy,,,Köpmannagatan,22,296 31,Åhus,Sweden,Köpmannagatan 22 296 31 Åhus Sweden,strict,55.9251448,14.298759,node,575938436,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"55.7125871,13.1968201",coordinates_only,55.7125871,13.1968201,node,582598778,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,,,,,Sweden,"59.0288523,12.2264115",coordinates_only,59.0288523,12.2264115,node,583771647,OpenStreetMap via Overpass API
Apotek,Apotek Hjärtat,Apotek Hjärtat,Apotek Hjärtat Retail AB,Healthcare / pharmacy,,pharmacy,,,Forumvägen,12,131 53,Nacka,Sweden,Forumvägen 12 131 53 Nacka Sweden,strict,59.3092517,18.1644427,node,585183332,OpenStreetMap via Overpass API
